user_id,age,home_location,dining_frequency,favorite_cuisines,preferred_price_range,dietary_restrictions,avg_rating_given,total_reviews_written
10001,42,Sharjah,Daily,"Mexican, Emirati, Mediterranean",Medium,Halal,3.3,134
10002,34,Dubai Marina,Bi-Weekly,"French, Mediterranean, Italian",Medium,None,3.57,98
10003,57,Jumeirah Lakes Towers (JLT),Weekly,"French, Chinese",Medium,Gluten-Free,3.46,7
10004,40,Palm Jumeirah,Bi-Weekly,"Emirati, Chinese",High,Vegan,4.04,23
10005,43,Abu Dhabi,Bi-Weekly,"Emirati, French",Medium,Gluten-Free,4.32,121
10006,27,Dubai Marina,Monthly,"Chinese, Mediterranean, Iranian",Medium,Keto,4.28,130
10007,42,Dubai Marina,Weekly,Thai,Medium,Halal,3.39,15
10008,49,Downtown Dubai,Bi-Weekly,"Mediterranean, Indian",Medium,Halal,3.46,143
10009,32,Palm Jumeirah,Daily,Italian,Low,Halal,3.13,134
10010,55,Jumeirah Lakes Towers (JLT),Daily,"Mexican, Mediterranean",Medium,Gluten-Free,3.76,72
10011,41,Ajman,Daily,French,Luxury,None,4.18,140
10012,55,Ajman,Weekly,"Indian, Italian",Low,Vegetarian,3.79,99
10013,47,Palm Jumeirah,Rarely,"Italian, Indian, Mexican",Medium,None,3.91,84
10014,25,Downtown Dubai,Rarely,Indian,Medium,Vegetarian,3.29,59
10015,41,Jumeirah Lakes Towers (JLT),Monthly,"Seafood, Iranian",Luxury,Keto,3.89,105
10016,50,Jumeirah Beach Residence (JBR),Weekly,"Indian, Emirati",Low,Vegan,3.99,89
10017,56,Jumeirah Lakes Towers (JLT),Rarely,"Mexican, Seafood, Emirati",High,Vegan,3.88,110
10018,37,Business Bay,Bi-Weekly,"Emirati, Mexican, Iranian",Luxury,Dairy-Free,3.51,92
10019,25,Jumeirah Lakes Towers (JLT),Monthly,"Indian, Mexican",Medium,Gluten-Free,3.19,92
10020,48,Ajman,Monthly,"Iranian, Seafood",High,Vegan,3.09,18
10021,28,Abu Dhabi,Rarely,"Iranian, Italian",Medium,Vegetarian,3.06,5
10022,34,Business Bay,Daily,"French, Mexican",High,Keto,3.78,85
10023,21,Dubai Marina,Daily,"French, Emirati",Luxury,None,4.34,72
10024,57,Abu Dhabi,Rarely,Chinese,Medium,Halal,3.39,128
10025,23,Jumeirah Lakes Towers (JLT),Rarely,Mediterranean,Low,Gluten-Free,4.06,106
10026,31,Downtown Dubai,Bi-Weekly,French,High,None,3.29,97
10027,28,Palm Jumeirah,Bi-Weekly,Mexican,Medium,Vegan,4.37,53
10028,37,Palm Jumeirah,Weekly,"Iranian, Emirati, Thai",Low,Vegetarian,3.74,91
10029,60,Ajman,Rarely,"Emirati, Iranian, Italian",Medium,Vegan,3.86,92
10030,33,Palm Jumeirah,Weekly,"Seafood, Mediterranean",Low,Vegetarian,3.33,68
10031,50,Abu Dhabi,Weekly,"Indian, Chinese",Medium,Gluten-Free,3.49,136
10032,35,Al Barsha,Bi-Weekly,"Chinese, Italian, Mexican",Luxury,Keto,4.21,53
10033,22,Al Barsha,Daily,"Chinese, Thai, French",Luxury,Dairy-Free,4.03,44
10034,37,Business Bay,Daily,"Indian, Seafood, French",Medium,Dairy-Free,3.8,143
10035,55,Ajman,Daily,"Italian, French, Thai",Low,Halal,3.52,43
10036,45,Palm Jumeirah,Weekly,"Chinese, French, Seafood",Medium,Vegetarian,4.36,121
10037,40,Palm Jumeirah,Monthly,Thai,High,None,3.34,130
10038,39,Jumeirah Lakes Towers (JLT),Monthly,Thai,High,Gluten-Free,4.3,141
10039,45,Dubai Marina,Rarely,"Emirati, French, Mediterranean",High,Vegan,3.22,94
10040,52,Business Bay,Rarely,"Indian, Chinese, Italian",Medium,Dairy-Free,4.24,72
10041,31,Jumeirah Lakes Towers (JLT),Rarely,"Thai, Indian, French",High,Dairy-Free,4.46,147
10042,39,Downtown Dubai,Monthly,Emirati,High,None,3.22,3
10043,48,Downtown Dubai,Bi-Weekly,"Italian, Mexican",Low,Keto,3.2,130
10044,42,Jumeirah Lakes Towers (JLT),Bi-Weekly,"Chinese, Thai, Italian",Low,Keto,4.34,102
10045,22,Dubai Marina,Daily,"Mexican, French, Chinese",Low,Gluten-Free,4.47,73
10046,49,Business Bay,Bi-Weekly,"Mexican, Italian",Luxury,None,4.24,123
10047,49,Downtown Dubai,Weekly,"Chinese, Iranian, Italian",Medium,Halal,3.04,69
10048,59,Downtown Dubai,Rarely,Italian,Luxury,Halal,4.19,60
10049,49,Ajman,Rarely,"Chinese, Mediterranean",High,Vegan,4.35,106
10050,38,Palm Jumeirah,Daily,"Chinese, Mediterranean, Seafood",Low,Keto,3.15,75
10051,33,Palm Jumeirah,Daily,"Chinese, French, Seafood",Low,Keto,3.83,69
10052,57,Jumeirah Beach Residence (JBR),Bi-Weekly,"Iranian, Emirati",High,Vegetarian,4.44,14
10053,25,Business Bay,Daily,Italian,Low,Halal,4.11,44
10054,47,Jumeirah Beach Residence (JBR),Weekly,"Indian, Emirati, Chinese",Medium,Keto,4.05,42
10055,26,Dubai Marina,Rarely,"Indian, Chinese, French",High,Keto,3.27,96
10056,39,Ajman,Monthly,"French, Emirati",Low,Halal,3.74,12
10057,47,Business Bay,Monthly,Thai,Low,Vegetarian,4.44,43
10058,22,Jumeirah Lakes Towers (JLT),Monthly,French,Medium,Gluten-Free,4.2,51
10059,21,Jumeirah Beach Residence (JBR),Daily,"Seafood, Thai",High,Dairy-Free,3.68,104
10060,20,Jumeirah Lakes Towers (JLT),Monthly,Iranian,Luxury,Vegetarian,4.17,139
10061,22,Ajman,Bi-Weekly,Chinese,Luxury,Vegan,4.13,143
10062,37,Abu Dhabi,Daily,Thai,High,Halal,3.75,50
10063,60,Dubai Marina,Weekly,"Italian, French",High,Dairy-Free,3.66,125
10064,39,Jumeirah Beach Residence (JBR),Daily,"Seafood, Indian, Mexican",Medium,None,3.05,100
10065,41,Abu Dhabi,Rarely,"Mexican, Emirati",Luxury,Vegetarian,4.34,40
10066,23,Ajman,Bi-Weekly,"French, Emirati, Mediterranean",Luxury,Halal,3.1,149
10067,45,Dubai Marina,Daily,"Mediterranean, Emirati",Low,None,4.27,95
10068,45,Jumeirah Beach Residence (JBR),Monthly,Italian,Luxury,None,3.78,54
10069,58,Business Bay,Daily,"French, Indian, Mediterranean",Low,Gluten-Free,3.89,132
10070,46,Palm Jumeirah,Daily,"Chinese, Iranian",Luxury,Dairy-Free,3.74,36
10071,54,Ajman,Monthly,"Iranian, Indian",High,Gluten-Free,3.98,77
10072,26,Jumeirah Lakes Towers (JLT),Bi-Weekly,French,Luxury,Keto,3.29,108
10073,27,Jumeirah Beach Residence (JBR),Daily,Seafood,Medium,Halal,3.97,96
10074,58,Al Barsha,Bi-Weekly,Chinese,High,None,4.13,47
10075,25,Downtown Dubai,Monthly,Mediterranean,Medium,None,3.9,4
10076,42,Jumeirah Beach Residence (JBR),Rarely,Mediterranean,Medium,Dairy-Free,3.08,57
10077,23,Palm Jumeirah,Bi-Weekly,"Indian, Mediterranean",High,Vegan,3.77,95
10078,20,Downtown Dubai,Bi-Weekly,"Indian, French",Luxury,Vegan,4.36,7
10079,34,Palm Jumeirah,Rarely,"Indian, Italian, Thai",Luxury,None,3.37,70
10080,59,Sharjah,Rarely,"Mexican, Italian",Low,Vegetarian,3.56,127
10081,36,Downtown Dubai,Weekly,"Mediterranean, Thai, French",High,Keto,3.53,147
10082,45,Abu Dhabi,Rarely,"Seafood, Emirati",Low,Vegan,4.42,149
10083,30,Ajman,Monthly,"Iranian, Emirati, Mediterranean",Low,Vegetarian,3.39,88
10084,25,Abu Dhabi,Monthly,Indian,Medium,Vegetarian,3.23,63
10085,47,Dubai Marina,Rarely,"Thai, Emirati, Iranian",Medium,Keto,3.13,126
10086,54,Abu Dhabi,Daily,"Emirati, Italian, Iranian",Medium,Gluten-Free,3.63,129
10087,28,Dubai Marina,Weekly,"French, Iranian, Chinese",Low,None,3.63,122
10088,28,Jumeirah Lakes Towers (JLT),Rarely,Italian,High,Vegetarian,3.51,25
10089,43,Jumeirah Beach Residence (JBR),Monthly,Iranian,Low,Vegan,3.19,32
10090,30,Sharjah,Weekly,"Emirati, Chinese",Luxury,Keto,4.12,144
10091,39,Dubai Marina,Daily,"Indian, Italian, Mexican",High,Gluten-Free,3.39,1
10092,21,Jumeirah Beach Residence (JBR),Monthly,Thai,Luxury,Halal,3.28,149
10093,38,Dubai Marina,Monthly,"Italian, Mexican, Seafood",Medium,Vegetarian,4.5,92
10094,59,Business Bay,Daily,"Seafood, Iranian",High,Gluten-Free,3.36,119
10095,60,Downtown Dubai,Rarely,"Iranian, Italian",Low,Keto,3.54,113
10096,30,Dubai Marina,Bi-Weekly,Iranian,Medium,Keto,4.43,25
10097,45,Business Bay,Bi-Weekly,French,Luxury,Dairy-Free,3.31,67
10098,42,Palm Jumeirah,Daily,"Mexican, Italian",Medium,None,3.08,63
10099,59,Dubai Marina,Bi-Weekly,"Iranian, Indian",Luxury,Gluten-Free,4.44,142
10100,45,Business Bay,Weekly,"Mediterranean, Thai",Medium,None,3.93,55
10101,53,Abu Dhabi,Daily,"Italian, Mexican, Seafood",High,Gluten-Free,3.6,123
10102,38,Palm Jumeirah,Monthly,Mediterranean,High,Dairy-Free,3.71,18
10103,47,Jumeirah Beach Residence (JBR),Daily,Mediterranean,Luxury,Vegan,4.32,141
10104,43,Sharjah,Rarely,Seafood,Medium,Halal,3.17,132
10105,49,Palm Jumeirah,Bi-Weekly,"Iranian, Mediterranean, French",Medium,Gluten-Free,4.45,24
10106,34,Jumeirah Beach Residence (JBR),Bi-Weekly,Iranian,Luxury,Vegan,3.69,121
10107,24,Jumeirah Beach Residence (JBR),Bi-Weekly,"Thai, Emirati, French",Luxury,Dairy-Free,3.26,113
10108,39,Al Barsha,Weekly,Seafood,High,Vegetarian,4.2,96
10109,26,Dubai Marina,Monthly,"Emirati, Italian",High,Halal,3.44,56
10110,35,Downtown Dubai,Monthly,"French, Mexican, Italian",High,Dairy-Free,4.25,73
10111,57,Abu Dhabi,Monthly,"Indian, Chinese",Medium,Halal,3.32,16
10112,32,Palm Jumeirah,Monthly,"Emirati, Seafood",Luxury,Dairy-Free,4.12,69
10113,59,Jumeirah Beach Residence (JBR),Weekly,Indian,Luxury,Vegan,3.59,47
10114,34,Dubai Marina,Weekly,Italian,Medium,None,3.46,129
10115,56,Sharjah,Monthly,"Emirati, Seafood",High,Halal,3.14,125
10116,53,Jumeirah Beach Residence (JBR),Daily,Mexican,Medium,Halal,3.35,22
10117,59,Sharjah,Weekly,"Italian, Indian, Emirati",Luxury,Halal,4.33,81
10118,32,Downtown Dubai,Daily,"Seafood, Thai",Luxury,Vegetarian,3.22,43
10119,31,Ajman,Monthly,"Seafood, Italian, Chinese",Medium,Halal,4.19,80
10120,32,Downtown Dubai,Monthly,Seafood,Medium,Gluten-Free,4.42,1
10121,54,Abu Dhabi,Weekly,"Chinese, French",Medium,Gluten-Free,3.67,42
10122,24,Sharjah,Monthly,Iranian,Luxury,Dairy-Free,3.58,43
10123,42,Jumeirah Beach Residence (JBR),Monthly,"Indian, Chinese, Mexican",Medium,Vegan,3.21,82
10124,20,Dubai Marina,Weekly,"Emirati, Iranian, Mediterranean",Low,Vegetarian,3.57,120
10125,43,Palm Jumeirah,Rarely,"Mediterranean, Italian, Indian",High,Vegan,3.03,107
10126,58,Palm Jumeirah,Monthly,"Mediterranean, Seafood",Medium,Halal,4.48,19
10127,43,Jumeirah Lakes Towers (JLT),Daily,"Chinese, Thai, Italian",Low,Gluten-Free,3.86,32
10128,25,Dubai Marina,Bi-Weekly,Mediterranean,High,None,3.25,40
10129,22,Al Barsha,Weekly,"Chinese, Mediterranean, Emirati",High,Halal,3.49,95
10130,21,Sharjah,Rarely,Thai,High,Keto,3.26,128
10131,33,Abu Dhabi,Rarely,Chinese,High,Keto,3.76,41
10132,43,Palm Jumeirah,Monthly,Mediterranean,Medium,Keto,3.23,16
10133,59,Al Barsha,Daily,"Indian, Emirati",Luxury,Gluten-Free,3.39,98
10134,56,Palm Jumeirah,Weekly,"Mexican, Seafood",Low,Keto,4.38,115
10135,56,Downtown Dubai,Bi-Weekly,Indian,Medium,Dairy-Free,4.12,27
10136,23,Business Bay,Daily,"Italian, Mediterranean, Thai",Medium,Vegan,4.49,25
10137,30,Jumeirah Lakes Towers (JLT),Monthly,Iranian,Luxury,Vegetarian,3.66,8
10138,48,Al Barsha,Monthly,"Thai, Italian",Low,Keto,3.67,48
10139,43,Ajman,Weekly,"Mexican, Seafood, Italian",Luxury,Gluten-Free,3.42,116
10140,53,Business Bay,Weekly,"French, Seafood, Mediterranean",Low,Keto,3.64,36
10141,22,Abu Dhabi,Bi-Weekly,"Thai, Mexican, French",Medium,None,3.25,86
10142,54,Jumeirah Beach Residence (JBR),Bi-Weekly,Iranian,High,Vegetarian,3.56,108
10143,51,Downtown Dubai,Rarely,Thai,Luxury,Dairy-Free,3.58,35
10144,59,Abu Dhabi,Rarely,Emirati,Low,Halal,3.67,76
10145,44,Sharjah,Bi-Weekly,"Indian, Italian",Luxury,Keto,3.51,105
10146,22,Palm Jumeirah,Bi-Weekly,"Indian, Mediterranean, Thai",Luxury,Dairy-Free,3.35,87
10147,55,Al Barsha,Weekly,"French, Chinese, Emirati",Low,Halal,3.12,109
10148,21,Ajman,Monthly,"Mediterranean, Seafood, Italian",Medium,Gluten-Free,4.32,69
10149,52,Palm Jumeirah,Weekly,"Mediterranean, Seafood, Mexican",Luxury,Gluten-Free,4.13,10
10150,51,Abu Dhabi,Weekly,"Emirati, Chinese, Seafood",Medium,Dairy-Free,4.32,119
10151,25,Jumeirah Lakes Towers (JLT),Daily,Mexican,Luxury,Gluten-Free,3.56,113
10152,20,Business Bay,Monthly,"French, Emirati",High,Keto,3.09,17
10153,29,Jumeirah Lakes Towers (JLT),Rarely,"Mediterranean, Iranian",High,Halal,4.31,7
10154,37,Al Barsha,Daily,Iranian,Luxury,None,3.28,60
10155,20,Jumeirah Lakes Towers (JLT),Rarely,Thai,Luxury,Vegetarian,4.08,64
10156,29,Al Barsha,Daily,French,Luxury,Dairy-Free,3.71,24
10157,44,Al Barsha,Daily,"Emirati, Italian",Luxury,Vegan,3.97,21
10158,34,Downtown Dubai,Daily,"Indian, Italian",Luxury,Vegan,4.14,103
10159,41,Dubai Marina,Rarely,"Mexican, Chinese, Italian",Medium,Vegetarian,3.34,9
10160,29,Dubai Marina,Weekly,"Iranian, Indian",High,Keto,4.16,149
10161,46,Business Bay,Rarely,"Mexican, Italian",Low,Gluten-Free,4.37,95
10162,34,Sharjah,Bi-Weekly,Thai,Medium,Halal,3.84,23
10163,60,Business Bay,Bi-Weekly,"Indian, Seafood, Chinese",High,Vegetarian,3.13,145
10164,42,Abu Dhabi,Daily,Seafood,Medium,Vegetarian,3.15,72
10165,41,Dubai Marina,Bi-Weekly,Emirati,Luxury,Vegetarian,3.62,137
10166,45,Dubai Marina,Rarely,"Seafood, Iranian, Emirati",Medium,Dairy-Free,4.17,66
10167,27,Jumeirah Lakes Towers (JLT),Bi-Weekly,"Mexican, Mediterranean, Iranian",Medium,Dairy-Free,4.02,65
10168,57,Palm Jumeirah,Daily,"Thai, Chinese, Emirati",High,Gluten-Free,3.21,93
10169,49,Dubai Marina,Daily,Chinese,Low,Vegan,3.1,51
10170,24,Abu Dhabi,Weekly,"Indian, Iranian",High,Dairy-Free,3.13,57
10171,56,Business Bay,Weekly,"Iranian, Emirati, Seafood",High,Gluten-Free,3.47,124
10172,37,Downtown Dubai,Bi-Weekly,Emirati,High,Vegetarian,3.46,87
10173,36,Downtown Dubai,Bi-Weekly,Indian,High,Keto,3.74,119
10174,51,Abu Dhabi,Daily,"Mediterranean, Chinese",Medium,Halal,3.63,63
10175,45,Downtown Dubai,Weekly,"Indian, Mexican",Luxury,None,3.54,147
10176,37,Palm Jumeirah,Weekly,"Seafood, Chinese",Luxury,None,3.93,68
10177,58,Al Barsha,Weekly,Indian,Low,Keto,3.24,70
10178,36,Jumeirah Beach Residence (JBR),Bi-Weekly,"Emirati, Italian",High,Keto,4.45,49
10179,59,Ajman,Daily,"Mediterranean, Emirati",Medium,Vegan,3.63,32
10180,40,Business Bay,Bi-Weekly,"Mexican, Italian, French",Medium,Halal,3.27,74
10181,52,Jumeirah Beach Residence (JBR),Weekly,Mexican,Medium,None,3.79,60
10182,28,Ajman,Bi-Weekly,"Chinese, Mediterranean, Indian",Low,Keto,3.41,129
10183,57,Dubai Marina,Daily,Emirati,High,Gluten-Free,4.44,79
10184,53,Palm Jumeirah,Monthly,"French, Indian, Iranian",Luxury,Dairy-Free,3.77,120
10185,59,Dubai Marina,Rarely,"Emirati, Seafood, Chinese",Luxury,Dairy-Free,3.73,111
10186,45,Sharjah,Monthly,Iranian,Low,Vegan,4.04,101
10187,39,Jumeirah Lakes Towers (JLT),Monthly,"Iranian, Mexican",Medium,None,3.45,93
10188,48,Abu Dhabi,Rarely,"Mexican, Chinese",Luxury,Halal,4.36,52
10189,42,Abu Dhabi,Monthly,Seafood,Low,Halal,4.24,50
10190,28,Jumeirah Beach Residence (JBR),Weekly,"Thai, Italian",Luxury,Dairy-Free,4.12,61
10191,51,Business Bay,Daily,"Iranian, Mediterranean, Indian",High,None,4.37,46
10192,21,Dubai Marina,Monthly,Italian,Luxury,Vegetarian,4.14,108
10193,30,Ajman,Monthly,"French, Emirati",Low,Vegan,4.25,92
10194,29,Al Barsha,Bi-Weekly,"Italian, Mediterranean, Emirati",High,Keto,3.99,81
10195,27,Jumeirah Beach Residence (JBR),Bi-Weekly,"Emirati, Thai",Luxury,None,4.46,113
10196,54,Palm Jumeirah,Rarely,"Thai, Iranian",Low,Vegetarian,3.6,147
10197,31,Abu Dhabi,Weekly,"Iranian, French",Medium,None,3.26,29
10198,32,Al Barsha,Daily,Indian,Low,Gluten-Free,4.32,133
10199,48,Abu Dhabi,Daily,Iranian,High,Gluten-Free,3.77,22
10200,51,Dubai Marina,Daily,"Seafood, Chinese",Medium,Halal,3.55,134
10201,30,Al Barsha,Weekly,"Indian, Emirati",Medium,Dairy-Free,3.69,31
10202,50,Ajman,Daily,"Thai, Seafood, Mexican",Luxury,Keto,4.45,111
10203,57,Ajman,Bi-Weekly,"Chinese, French, Indian",High,None,3.82,87
10204,37,Sharjah,Rarely,Emirati,Medium,Dairy-Free,3.05,115
10205,23,Jumeirah Beach Residence (JBR),Weekly,"Indian, French",Low,Vegan,3.2,124
10206,22,Jumeirah Beach Residence (JBR),Bi-Weekly,Iranian,Low,Keto,3.77,60
10207,28,Dubai Marina,Rarely,Emirati,Low,Halal,3.17,6
10208,39,Palm Jumeirah,Rarely,"Italian, Iranian, Mediterranean",Medium,Gluten-Free,4.45,15
10209,49,Business Bay,Bi-Weekly,"French, Thai",Low,Dairy-Free,4.02,65
10210,30,Al Barsha,Daily,"Mediterranean, French",High,Halal,4.02,82
10211,27,Downtown Dubai,Bi-Weekly,"Mexican, Thai",High,Dairy-Free,4.24,11
10212,59,Business Bay,Bi-Weekly,Emirati,High,Halal,3.08,19
10213,36,Jumeirah Beach Residence (JBR),Bi-Weekly,"Italian, Mexican, Emirati",Low,Vegetarian,3.89,46
10214,60,Ajman,Monthly,Thai,High,Gluten-Free,4.22,8
10215,42,Dubai Marina,Weekly,Seafood,Medium,Gluten-Free,3.64,24
10216,51,Business Bay,Daily,"Indian, Iranian",Low,None,3.87,68
10217,53,Jumeirah Lakes Towers (JLT),Monthly,"Chinese, Thai, Italian",Low,Gluten-Free,4.18,116
10218,37,Jumeirah Beach Residence (JBR),Monthly,French,Medium,Gluten-Free,3.3,87
10219,35,Jumeirah Beach Residence (JBR),Weekly,"Emirati, Indian",Low,None,3.76,22
10220,20,Jumeirah Beach Residence (JBR),Weekly,"Mediterranean, Iranian, Indian",Medium,Halal,4.27,117
10221,35,Abu Dhabi,Rarely,"Thai, Mexican",Medium,Keto,3.87,124
10222,23,Business Bay,Monthly,"Thai, Iranian, Emirati",Medium,Keto,3.18,61
10223,47,Sharjah,Rarely,Chinese,Low,Vegan,3.96,3
10224,52,Palm Jumeirah,Rarely,"Seafood, Mexican",Medium,Dairy-Free,4.46,141
10225,42,Ajman,Rarely,Mediterranean,Medium,Vegan,3.02,74
10226,54,Palm Jumeirah,Bi-Weekly,Mexican,High,Halal,3.93,8
10227,44,Palm Jumeirah,Daily,Chinese,Luxury,Vegan,3.51,128
10228,53,Sharjah,Daily,Thai,Medium,Halal,4.28,86
10229,32,Jumeirah Beach Residence (JBR),Bi-Weekly,Emirati,Low,Dairy-Free,3.47,12
10230,39,Downtown Dubai,Weekly,"Indian, Seafood",High,Halal,3.4,1
10231,33,Jumeirah Beach Residence (JBR),Daily,"Iranian, Thai",High,None,4.26,70
10232,42,Sharjah,Weekly,"Mexican, Italian, Mediterranean",Low,Vegan,4.24,67
10233,36,Ajman,Monthly,"Thai, Indian, Iranian",Luxury,Gluten-Free,4.02,44
10234,32,Jumeirah Lakes Towers (JLT),Rarely,"Mediterranean, Chinese, French",Luxury,Vegan,3.2,149
10235,36,Dubai Marina,Rarely,"Thai, Emirati",Low,Keto,3.39,53
10236,50,Downtown Dubai,Rarely,Indian,Medium,Vegetarian,4.16,132
10237,54,Business Bay,Daily,"Thai, Iranian, Seafood",High,Gluten-Free,4.43,123
10238,23,Sharjah,Bi-Weekly,"Mediterranean, Indian, French",Medium,Gluten-Free,4.17,79
10239,21,Abu Dhabi,Weekly,Indian,Luxury,Keto,4.13,80
10240,29,Business Bay,Daily,"Chinese, French",Luxury,None,3.02,41
10241,52,Business Bay,Bi-Weekly,"Mediterranean, Chinese",High,Halal,3.99,144
10242,44,Jumeirah Lakes Towers (JLT),Rarely,"Iranian, Indian",Low,Dairy-Free,3.76,37
10243,36,Jumeirah Lakes Towers (JLT),Bi-Weekly,Chinese,Medium,None,3.27,108
10244,23,Jumeirah Lakes Towers (JLT),Monthly,Iranian,High,None,3.67,89
10245,28,Jumeirah Beach Residence (JBR),Bi-Weekly,Italian,Luxury,Vegan,3.85,127
10246,51,Al Barsha,Weekly,"Seafood, Chinese, Mexican",Medium,Dairy-Free,3.92,45
10247,28,Abu Dhabi,Monthly,Iranian,Medium,Vegan,3.76,119
